term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),6.817586955708698,0.7328380595038647,9.302992478753412,7.563846531420687e-20,5.379611920203253,8.255561991214144
overall_qual,0.08946868229645183,0.006242068497066167,14.333178551068926,9.987907442958271e-43,0.0772204938293123,0.10171687076359136
gr_liv_area,1.7469051655614142e-4,1.62824305146707e-5,10.72877396275346,1.441713084763675e-25,1.4274112706441693e-4,2.066399060478659e-4
garage_cars,0.0736370381629883,0.009205548088742322,7.999201943558445,3.256976266514159e-15,0.05557390925191881,0.0917001670740578
total_bsmt_sf,6.194154664226991e-5,1.4428917438640126e-5,4.292875533156262,1.9249698479279608e-5,3.362912100190337e-5,9.025397228263645e-5
year_built,0.002050704013061076,3.719183971235316e-4,5.513854729751217,4.4071692672852355e-8,0.0013209256351873783,0.002780482390934774
full_bath,0.019898445762725085,0.013773984396309995,1.4446397781643934,0.14885406135850832,-0.007128870087579585,0.046925761613029755
fireplaces,0.05365342937441946,0.00958871428718076,5.5954769083222375,2.79881329348028e-8,0.03483845164674099,0.07246840710209794
lot_area,1.9430572443539607e-6,5.76714876262659e-7,3.369181764385448,7.810053398455281e-4,8.114271605783482e-7,3.0746873281295733e-6
neighborhoodBlueste,-0.15955192915572874,0.16913815765542162,-0.9433230878674786,0.34573021425038375,-0.4914348671468853,0.1723310088354278
neighborhoodBrDale,-0.16715350567926962,0.07266061855360618,-2.3004690712335494,0.02161476108451416,-0.3097281907539038,-0.024578820604635482
neighborhoodBrkSide,0.024888937539271287,0.06034643988168697,0.4124342312167483,0.680104418466309,-0.09352286286618847,0.14330073794473105
neighborhoodClearCr,0.1716610528427699,0.06567087931895234,2.6139600173319018,0.009076580737099996,0.04280163595566658,0.30052046972987323
neighborhoodCollgCr,0.09932820679128815,0.05170886504820887,1.9209125301567367,0.05501021953253508,-0.002134941975826768,0.20079135555840305
neighborhoodCrawfor,0.2461205952929312,0.05930655738925267,4.1499727201756675,3.591160868222617e-5,0.12974925259103565,0.36249193799482676
neighborhoodEdwards,-0.01590651258393083,0.05569618876232685,-0.2855942738166326,0.775244581530705,-0.12519358900466987,0.0933805638368082
neighborhoodGilbert,0.04744316279445536,0.05401723271410629,0.8782968029027863,0.3799813317481532,-0.05854946562137721,0.15343579121028794
neighborhoodIDOTRR,-0.12708014534868978,0.06399707077201604,-1.9857181557793742,0.04732144392584528,-0.2526552146592773,-0.0015050760381022377
neighborhoodMeadowV,-0.12679591152763947,0.06772985540869854,-1.8720830092212937,0.06146978088439996,-0.25969545184632614,0.0061036287910472276
neighborhoodMitchel,0.05181469179746338,0.056890197769149164,0.9107841742389202,0.3626157761363715,-0.05981526941441426,0.16344465300934102
neighborhoodNAmes,0.07008935881737516,0.053539801531859284,1.3091075575927924,0.19078109592838258,-0.03496645400551747,0.17514517164026777
neighborhoodNoRidge,0.20570357034479164,0.05963058131764796,3.4496321484612573,5.833974019114495e-4,0.08869642780431475,0.32271071288526854
neighborhoodNPkVill,-0.11258415896862578,0.10556648021897266,-1.0664763922705067,0.2864507286600092,-0.31972673456552214,0.09455841662827058
neighborhoodNridgHt,0.18963299351420804,0.053984851519982155,3.512707512847684,4.62223027787151e-4,0.08370390348610864,0.29556208354230745
neighborhoodNWAmes,0.06576916065684646,0.054463660628945386,1.2075787763316927,0.22747819066316333,-0.04109944873236236,0.1726377700460553
neighborhoodOldTown,-0.03235680317911751,0.05934841478966601,-0.5452007992764721,0.5857298998414721,-0.1488102784832503,0.08409667212501526
neighborhoodSawyer,0.05551845516621224,0.0564466285056625,0.9835566204036943,0.32555757859574996,-0.0552411343187341,0.16627804465115859
neighborhoodSawyerW,0.06802887533612413,0.05496907052275757,1.2375846032899487,0.2161436735775639,-0.03983144948130822,0.17588920015355647
neighborhoodSomerst,0.10179135493667371,0.0530363182971642,1.9192764167062553,0.055217097799869455,-0.002276522949028026,0.20585923282237545
neighborhoodStoneBr,0.24687756570907415,0.06082862098220081,4.058575744817781,5.2993011885970275e-5,0.12751962941978648,0.36623550199836186
neighborhoodSWISU,0.03256047792834098,0.06949422732941878,0.4685350018210398,0.6394981983309713,-0.10380111344301642,0.16892206929969839
neighborhoodTimber,0.0968237460284136,0.05807199837847196,1.667305219933802,0.09574856012110528,-0.01712514465377815,0.21077263671060534
neighborhoodVeenker,0.2394237289146868,0.07162057699225943,3.3429461052870755,8.578613251713652e-4,0.09888981366867924,0.37995764416069433
